동,경사도,자전거도로길이,총거치대수,총대여수,인구,면적,지하철역개수,버스정거장개수,스타벅스매장수
종로1·2·3·4가동,-31.3656,4529.0,299.0,214873.0,8446,2.35,3,62,17
종로5·6가동,-29.7645,2971.6132075471696,186.0,122890.0,5839,0.6,1,18,0
종암동,-27.9916,1914.0,72.0,94967.0,42068,1.46,0,57,2
중계1동,-36.9197,3474.0,48.0,44184.0,28061,0.63,0,18,1
중계2·3동,-25.7067,3833.0,84.0,84914.0,36763,0.9,1,33,0
중계4동,-181.7358,930.0,33.0,31372.0,21324,1.7,0,6,0
중계본동,-137.0066,2971.6132075471696,40.0,30761.0,25875,1.97,0,19,0
중곡1동,-18.6564,3549.0,30.0,52277.0,16287,0.62,1,17,0
중곡2동,-28.9272,2913.0,9.0,94.0,22564,0.55,0,16,0
중곡3동,-33.4225,1942.0,54.0,26176.0,17315,0.6,1,24,0
중곡4동,-158.281,2971.6132075471696,30.0,27897.0,30516,2.32,0,33,0
중림동,-35.1046,2971.6132075471696,45.0,20466.0,12942,0.48,0,10,0
중앙동,-50.2592,559.0,66.0,38960.0,15895,0.39,1,14,1
중화1동,-44.5284,2971.6132075471696,8.0,105.0,20916,0.68,0,14,0
중화2동,-15.6428,1493.0,75.0,31325.0,27274,0.98,2,28,0
증산동,-19.0155,3993.0,20.0,20632.0,16172,0.81,1,12,0
진관동,-146.1655,2115.0,320.0,88130.0,58006,11.53,1,70,2
창1동,-30.2232,1047.0,50.0,19469.0,26271,0.88,0,21,1
창2동,-39.47,2971.6132075471696,15.0,21346.0,30498,1.07,0,27,0
창3동,-62.7343,2971.6132075471696,18.0,14098.0,14777,0.67,0,15,0
창4동,-22.7581,7685.0,70.0,53252.0,27873,0.96,0,36,0
창5동,-25.4397,47.0,132.0,64264.0,25802,0.7,1,21,1
창신1동,-22.9801,2971.6132075471696,40.0,104.0,6079,0.31,1,7,0
창신2동,-48.4957,2971.6132075471696,0.0,0.0,9799,0.26,0,1,0
창신3동,-46.6966,2971.6132075471696,30.0,8398.0,7271,0.23,1,5,0
천연동,-59.576,2971.6132075471696,64.0,15774.0,18704,0.97,0,35,0
천호1동,-28.3545,2432.0,18.0,17889.0,28400,0.71,1,18,0
천호2동,-15.5001,6815.0,64.0,87839.0,35904,1.57,0,27,2
천호3동,-24.1685,371.0,70.0,17033.0,27996,0.79,1,11,2
청구동,-60.8394,2971.6132075471696,8.0,1522.0,14515,0.34,0,6,0
청담동,-20.1158,5325.0,50.0,32175.0,30120,2.33,2,24,6
청량리동,-37.9034,964.0,50.0,52571.0,21808,1.2,0,24,0
청룡동,-46.3329,2407.0,71.0,22408.0,34440,1.18,1,18,1
청림동,-84.2389,2971.6132075471696,15.0,0.0,16286,0.3,0,7,0
청운효자동,-82.9345,2319.0,28.0,15959.0,12981,2.57,0,23,0
청파동,-30.5015,286.0,27.0,22051.0,20661,0.91,0,24,2
충현동,-63.0969,2971.6132075471696,70.0,48688.0,18113,1.12,2,46,3
평창동,-282.8426,2971.6132075471696,35.0,1754.0,18816,8.87,0,57,1
풍납1동,-13.737,8520.0,15.0,35171.0,15518,0.77,0,6,0
풍납2동,-12.6403,15273.0,88.0,48130.0,25288,1.59,1,25,0
필동,-79.1061,1855.0,22.0,20043.0,5020,1.14,1,6,3
하계1동,-44.3205,3977.0,53.0,49158.0,29305,1.55,0,34,0
하계2동,-20.978,2113.0,20.0,17251.0,23318,0.51,1,21,0
한강로동,-16.1042,395.0,231.0,114696.0,19635,2.9,4,39,4
한남동,-48.8304,14779.0,90.0,37121.0,23704,3.01,2,41,3
합정동,-11.3868,8493.0,40.0,60494.0,19153,1.72,0,25,1
행당1동,-19.3713,187.0,92.0,88117.0,16463,0.59,1,22,1
행당2동,-32.5491,2971.6132075471696,8.0,9415.0,24640,0.42,1,26,0
행운동,-74.2251,492.0,80.0,20747.0,30061,0.72,1,15,0
혜화동,-51.857,2178.0,91.0,73065.0,20435,1.12,0,33,2
홍은1동,-100.2633,715.0,27.0,4365.0,22902,1.58,0,28,0
홍은2동,-72.6058,6162.0,49.0,17502.0,28394,2.06,0,66,0
홍제1동,-73.9965,2971.6132075471696,0.0,0.0,24997,1.23,0,23,1
홍제2동,-179.0758,2971.6132075471696,26.0,12148.0,14570,1.05,1,9,0
홍제3동,-130.1401,2971.6132075471696,40.0,19390.0,16420,0.81,1,46,0
화곡1동,-23.0389,195.0,39.0,11353.0,54562,1.12,0,26,2
화곡2동,-15.6255,2971.6132075471696,0.0,0.0,19487,0.47,0,30,0
화곡3동,-21.9086,2698.0,43.0,49054.0,22710,0.51,0,9,0
화곡4동,-33.6423,2971.6132075471696,15.0,13309.0,22044,0.82,0,30,1
화곡6동,-23.6753,3719.0,51.0,41227.0,25118,1.12,0,29,0
화곡8동,-33.9773,2971.6132075471696,20.0,22293.0,26509,0.53,1,27,0
화곡본동,-51.432,2971.6132075471696,25.0,31302.0,35918,1.11,0,25,0
화양동,-20.9748,3411.0,144.0,129834.0,25537,1.16,1,19,2
황학동,-21.5027,748.0,15.0,22551.0,13689,0.33,1,6,1
회기동,-37.1353,2971.6132075471696,22.0,29897.0,13114,0.76,0,10,3
회현동,-64.0186,2971.6132075471696,187.0,54395.0,5850,0.84,1,35,8
효창동,-39.3094,2971.6132075471696,35.0,18699.0,10300,0.44,1,14,1
후암동,-110.1838,2971.6132075471696,10.0,72.0,18445,0.86,0,16,0
휘경1동,-15.792,1889.0,30.0,41753.0,16508,0.63,1,15,0
휘경2동,-18.4596,3782.0,51.0,15335.0,25068,1.05,0,18,0
흑석동,-32.6523,2129.0,145.0,50564.0,35551,1.68,1,51,1
