동,경사도,자전거도로길이,총거치대수,총대여수,인구,면적,지하철역개수,버스정거장개수,스타벅스매장수,공시지가
이촌2동,-9.3376,12146.0,21.0,9936.0,9005,1.22,0,8,0,1716187
이태원1동,-60.8562,2971.6132075471696,25.0,14991.0,9222,0.57,1,16,1,8882187
이태원2동,-115.1475,924.0,10.0,0.0,10811,0.86,0,20,0,3284794
이화동,-55.3303,1304.0,55.0,48608.0,8470,0.78,1,20,4,4653773
인수동,-136.5536,2971.6132075471696,40.0,21426.0,32461,3.28,0,55,0,688053
인헌동,-113.5061,404.0,12.0,5548.0,27088,1.08,0,23,1,1750951
일원1동,-15.2469,1738.0,15.0,13007.0,16438,0.92,0,14,0,2412153
일원2동,-14.978,7061.0,20.0,18442.0,18160,1.24,1,10,0,1776318
일원본동,-72.2373,11994.0,40.0,8176.0,24399,2.58,1,30,0,1185871
자양1동,-20.3562,4022.0,44.0,101249.0,24156,0.57,0,13,1,4306549
자양2동,-15.0846,8884.0,24.0,58477.0,26893,1.68,0,14,0,1715700
자양3동,-12.8251,5343.0,147.0,268024.0,29475,1.2,0,16,4,2494271
자양4동,-12.1523,2980.0,42.0,81318.0,23000,1.16,1,14,0,2224466
잠실2동,-10.4197,13418.0,38.0,46473.0,36809,2.18,2,9,0,757157
잠실3동,-12.7993,6310.0,39.0,41782.0,36038,1.49,0,21,1,2672169
잠실4동,-14.6933,7853.0,30.0,59385.0,22240,1.56,2,9,0,2779794
잠실6동,-11.6193,11674.0,65.0,125489.0,17441,2.79,1,14,5,3859306
잠실7동,-14.2176,4996.0,35.0,31677.0,10191,0.6,0,4,0,1980629
잠실본동,-13.953,6851.0,158.0,204641.0,29628,0.94,1,14,2,7148867
잠원동,-17.5639,5406.0,150.0,93727.0,35131,1.76,1,22,4,6958404
장안1동,-12.4826,8415.0,65.0,109646.0,39153,1.25,1,29,1,3552664
장안2동,-12.6789,2801.0,48.0,20431.0,33045,1.09,0,33,0,2870536
장위1동,-37.902,2971.6132075471696,20.0,7386.0,20592,0.7,0,37,0,2683130
장위2동,-21.7936,584.0,0.0,0.0,13972,0.67,1,26,0,2667581
장위3동,-22.1887,2617.0,81.0,12983.0,17580,0.65,0,31,0,2367264
장지동,-32.9411,2650.0,100.0,55681.0,33055,1.37,0,39,0,2880663
장충동,-70.9723,2830.0,51.0,14869.0,5628,1.36,1,11,1,2611141
전농1동,-24.3913,2971.6132075471696,53.0,31997.0,31075,1.19,1,31,0,2984839
전농2동,-37.1024,2971.6132075471696,154.0,68768.0,19990,0.86,0,12,0,1411234
정릉1동,-50.3205,2971.6132075471696,25.0,5935.0,19455,0.44,1,15,0,2678708
정릉2동,-70.8446,2971.6132075471696,25.0,11845.0,23834,1.17,0,48,0,1407546
정릉3동,-135.803,2971.6132075471696,30.0,8451.0,17233,3.71,0,30,0,668504
정릉4동,-258.1992,2971.6132075471696,20.0,5564.0,26792,3.13,1,35,0,415794
제기동,-16.9916,880.0,54.0,20052.0,27364,1.18,2,26,0,3171578
조원동,-17.0941,2971.6132075471696,44.0,41705.0,19579,0.67,0,26,1,4182387
종로1·2·3·4가동,-31.3656,4529.0,299.0,214873.0,8446,2.35,3,62,17,9264015
종로5·6가동,-29.7645,2971.6132075471696,186.0,122890.0,5839,0.6,1,18,0,7873051
종암동,-27.9916,1914.0,72.0,94967.0,42068,1.46,0,57,2,2388831
중계1동,-36.9197,3474.0,48.0,44184.0,28061,0.63,0,18,1,1929651
중계2·3동,-25.7067,3833.0,84.0,84914.0,36763,0.9,1,33,0,1621150
중계4동,-181.7358,930.0,33.0,31372.0,21324,1.7,0,6,0,732147
중계본동,-137.0066,2971.6132075471696,40.0,30761.0,25875,1.97,0,19,0,841125
중곡1동,-18.6564,3549.0,30.0,52277.0,16287,0.62,1,17,0,2848763
중곡2동,-28.9272,2913.0,9.0,94.0,22564,0.55,0,16,0,4007666
중곡3동,-33.4225,1942.0,54.0,26176.0,17315,0.6,1,24,0,2806666
중곡4동,-158.281,2971.6132075471696,30.0,27897.0,30516,2.32,0,33,0,925507
중림동,-35.1046,2971.6132075471696,45.0,20466.0,12942,0.48,0,10,0,4625353
중앙동,-50.2592,559.0,66.0,38960.0,15895,0.39,1,14,1,4111486
중화1동,-44.5284,2971.6132075471696,8.0,105.0,20916,0.68,0,14,0,2292454
중화2동,-15.6428,1493.0,75.0,31325.0,27274,0.98,2,28,0,2310088
증산동,-19.0155,3993.0,20.0,20632.0,16172,0.81,1,12,0,2464385
진관동,-146.1655,2115.0,320.0,88130.0,58006,11.53,1,70,2,296902
창1동,-30.2232,1047.0,50.0,19469.0,26271,0.88,0,21,1,1284332
창2동,-39.47,2971.6132075471696,15.0,21346.0,30498,1.07,0,27,0,2613971
창3동,-62.7343,2971.6132075471696,18.0,14098.0,14777,0.67,0,15,0,1408772
창4동,-22.7581,7685.0,70.0,53252.0,27873,0.96,0,36,0,1935416
창5동,-25.4397,47.0,132.0,64264.0,25802,0.7,1,21,1,2488124
창신1동,-22.9801,2971.6132075471696,40.0,104.0,6079,0.31,1,7,0,6077375
창신2동,-48.4957,2971.6132075471696,0.0,0.0,9799,0.26,0,1,0,2399147
창신3동,-46.6966,2971.6132075471696,30.0,8398.0,7271,0.23,1,5,0,2640470
천연동,-59.576,2971.6132075471696,64.0,15774.0,18704,0.97,0,35,0,1308635
천호1동,-28.3545,2432.0,18.0,17889.0,28400,0.71,1,18,0,3650894
천호2동,-15.5001,6815.0,64.0,87839.0,35904,1.57,0,27,2,2784786
천호3동,-24.1685,371.0,70.0,17033.0,27996,0.79,1,11,2,5280197
청구동,-60.8394,2971.6132075471696,8.0,1522.0,14515,0.34,0,6,0,2964152
청담동,-20.1158,5325.0,50.0,32175.0,30120,2.33,2,24,6,9986587
청량리동,-37.9034,964.0,50.0,52571.0,21808,1.2,0,24,0,2831444
청룡동,-46.3329,2407.0,71.0,22408.0,34440,1.18,1,18,1,3135032
청림동,-84.2389,2971.6132075471696,15.0,0.0,16286,0.3,0,7,0,2559526
청운효자동,-82.9345,2319.0,28.0,15959.0,12981,2.57,0,23,0,1638201
청파동,-30.5015,286.0,27.0,22051.0,20661,0.91,0,24,2,4375959
충현동,-63.0969,2971.6132075471696,70.0,48688.0,18113,1.12,2,46,3,3264265
평창동,-282.8426,2971.6132075471696,35.0,1754.0,18816,8.87,0,57,1,590275
풍납1동,-13.737,8520.0,15.0,35171.0,15518,0.77,0,6,0,1977979
풍납2동,-12.6403,15273.0,88.0,48130.0,25288,1.59,1,25,0,1330783
필동,-79.1061,1855.0,22.0,20043.0,5020,1.14,1,6,3,2562269
하계1동,-44.3205,3977.0,53.0,49158.0,29305,1.55,0,34,0,1421215
하계2동,-20.978,2113.0,20.0,17251.0,23318,0.51,1,21,0,901160
한강로동,-16.1042,395.0,231.0,114696.0,19635,2.9,4,39,4,6562376
한남동,-48.8304,14779.0,90.0,37121.0,23704,3.01,2,41,3,4307239
합정동,-11.3868,8493.0,40.0,60494.0,19153,1.72,0,25,1,2288840
행당1동,-19.3713,187.0,92.0,88117.0,16463,0.59,1,22,1,3657206
행당2동,-32.5491,2971.6132075471696,8.0,9415.0,24640,0.42,1,26,0,1994011
행운동,-74.2251,492.0,80.0,20747.0,30061,0.72,1,15,0,4517464
혜화동,-51.857,2178.0,91.0,73065.0,20435,1.12,0,33,2,3555218
홍은1동,-100.2633,715.0,27.0,4365.0,22902,1.58,0,28,0,1167052
홍은2동,-72.6058,6162.0,49.0,17502.0,28394,2.06,0,66,0,1543871
홍제1동,-73.9965,2971.6132075471696,0.0,0.0,24997,1.23,0,23,1,1887033
홍제2동,-179.0758,2971.6132075471696,26.0,12148.0,14570,1.05,1,9,0,1289292
홍제3동,-130.1401,2971.6132075471696,40.0,19390.0,16420,0.81,1,46,0,1440276
화곡1동,-23.0389,195.0,39.0,11353.0,54562,1.12,0,26,2,3092662
화곡2동,-15.6255,2971.6132075471696,0.0,0.0,19487,0.47,0,30,0,2727250
화곡3동,-21.9086,2698.0,43.0,49054.0,22710,0.51,0,9,0,3042511
화곡4동,-33.6423,2971.6132075471696,15.0,13309.0,22044,0.82,0,30,1,2024425
화곡6동,-23.6753,3719.0,51.0,41227.0,25118,1.12,0,29,0,2468206
화곡8동,-33.9773,2971.6132075471696,20.0,22293.0,26509,0.53,1,27,0,3170670
화곡본동,-51.432,2971.6132075471696,25.0,31302.0,35918,1.11,0,25,0,2273418
화양동,-20.9748,3411.0,144.0,129834.0,25537,1.16,1,19,2,3995591
황학동,-21.5027,748.0,15.0,22551.0,13689,0.33,1,6,1,5278259
회기동,-37.1353,2971.6132075471696,22.0,29897.0,13114,0.76,0,10,3,1925334
회현동,-64.0186,2971.6132075471696,187.0,54395.0,5850,0.84,1,35,8,8287676
효창동,-39.3094,2971.6132075471696,35.0,18699.0,10300,0.44,1,14,1,3823444
후암동,-110.1838,2971.6132075471696,10.0,72.0,18445,0.86,0,16,0,3443798
휘경1동,-15.792,1889.0,30.0,41753.0,16508,0.63,1,15,0,2786070
휘경2동,-18.4596,3782.0,51.0,15335.0,25068,1.05,0,18,0,1743953
흑석동,-32.6523,2129.0,145.0,50564.0,35551,1.68,1,51,1,3182972
