동,경사도,자전거도로길이,총거치대수,총대여수,인구,면적,지하철역개수,버스정거장개수,스타벅스매장수,공시지가
남가좌2동,-29.4265,933.0,55.0,34172.0,25947,0.77,0,20,1,3132750
남영동,-30.9781,982.0,65.0,47320.0,8412,1.19,3,21,3,5036631
남현동,-128.3537,4023.0,0.0,0.0,18980,3.27,0,7,1,702016
내곡동,-110.8731,2971.6132075471696,209.0,50580.0,18481,12.68,1,62,1,426509
노량진1동,-24.1441,1369.0,90.0,107570.0,32563,1.58,2,49,2,3310011
노량진2동,-21.1604,2287.0,10.0,26130.0,13789,0.64,0,12,0,4179534
녹번동,-83.4793,2971.6132075471696,112.0,69421.0,38411,1.79,2,28,0,1899757
논현1동,-35.039,1777.0,50.0,32447.0,23792,1.25,2,18,4,10093804
논현2동,-46.7167,4691.0,75.0,38514.0,21904,1.47,2,26,7,11756648
능동,-27.4135,3748.0,112.0,82894.0,11978,1.1,1,9,0,1639031
다산동,-42.1136,2971.6132075471696,15.0,8275.0,15035,0.51,1,8,1,4256854
답십리1동,-19.034,2971.6132075471696,59.0,51480.0,29783,0.81,1,28,1,2735209
답십리2동,-23.8233,2971.6132075471696,44.0,36401.0,30486,0.85,0,19,0,2637545
당산1동,-9.9683,290.0,50.0,49623.0,21524,0.75,1,20,0,4400876
당산2동,-8.4205,4909.0,147.0,239109.0,36324,1.55,1,43,3,2589872
대림1동,-17.9474,1935.0,0.0,0.0,16332,0.49,0,15,0,3373875
대림2동,-13.0967,2255.0,18.0,15239.0,21370,0.55,0,13,0,3327774
대림3동,-11.8678,101.0,26.0,22375.0,28638,0.95,0,37,0,2991153
대방동,-29.7643,30.0,125.0,73455.0,40177,1.55,2,52,0,2851842
대조동,-31.6808,2971.6132075471696,20.0,29991.0,27910,0.85,0,28,2,3197432
대치1동,-14.9916,8022.0,10.0,288.0,25302,0.79,2,17,4,7271686
대치2동,-16.7109,11859.0,115.0,64212.0,38647,2.0,1,32,7,7003770
대치4동,-25.0848,2971.6132075471696,60.0,24075.0,20822,0.73,1,16,2,11440320
대학동,-227.1326,2509.0,97.0,73828.0,24457,8.3,0,55,0,323924
대흥동,-41.8932,2971.6132075471696,104.0,94357.0,13575,0.88,2,31,3,4907864
도곡1동,-33.2024,4124.0,36.0,20461.0,22626,1.02,2,24,2,4765509
도곡2동,-18.328,7974.0,85.0,31042.0,34437,1.02,0,19,1,7673142
도림동,-17.7924,2971.6132075471696,50.0,40944.0,21552,0.89,0,25,0,2467371
도봉1동,-168.4798,6232.0,55.0,17076.0,22293,8.72,0,39,0,293368
도봉2동,-29.0081,5481.0,70.0,23082.0,28677,0.83,2,47,0,1208539
도화동,-31.2117,126.0,10.0,18625.0,22594,0.62,0,34,2,4811745
독산1동,-18.5002,8313.0,215.0,82539.0,43840,2.09,0,67,1,2271957
독산2동,-50.2283,2971.6132075471696,14.0,138.0,21405,0.6,0,7,0,2012758
독산3동,-32.2896,2971.6132075471696,70.0,33326.0,29916,0.92,0,21,1,2428535
독산4동,-50.8031,2971.6132075471696,7.0,1166.0,18227,0.59,0,16,0,1888130
돈암1동,-65.0633,148.0,28.0,3368.0,15921,0.49,0,14,1,1942773
돈암2동,-64.4015,2971.6132075471696,10.0,5603.0,25028,0.48,0,32,0,1855178
동선동,-68.0834,2971.6132075471696,80.0,74128.0,16276,0.73,1,16,2,3750483
동화동,-46.5747,2971.6132075471696,10.0,10726.0,10995,0.26,1,4,0,3434884
둔촌1동,-31.4826,2971.6132075471696,0.0,0.0,283,0.92,1,8,0,1967292
둔촌2동,-47.5814,220.0,78.0,17105.0,27752,0.98,1,29,0,1786402
등촌1동,-11.3396,6105.0,70.0,94313.0,23717,0.59,0,15,0,3739037
등촌2동,-21.5435,2055.0,38.0,35361.0,21868,0.92,0,9,0,1621712
등촌3동,-9.8289,11246.0,59.0,121151.0,32506,0.79,0,49,3,3755671
마장동,-16.7449,6930.0,98.0,132622.0,24035,1.05,1,29,0,3094859
마천1동,-53.8806,2971.6132075471696,30.0,12047.0,20764,0.58,1,14,0,2716083
마천2동,-47.5169,791.0,32.0,22509.0,20242,0.89,0,12,1,1939966
망우3동,-110.7328,2971.6132075471696,10.0,8482.0,17941,0.99,0,10,0,1352349
망우본동,-71.7982,2971.6132075471696,58.0,34860.0,31071,2.88,1,53,0,979830
망원1동,-7.934,10686.0,49.0,74439.0,21856,1.13,0,23,0,2344640
